CustomerID,TransactionId,ProductId,ProductType,quantity,price
1,TXN-0001-001,84,Electronics,1,93.34
1,TXN-0001-001,69,Home,5,68.04
1,TXN-0001-002,1,Beauty,3,234.19
1,TXN-0001-002,93,Toys,4,268.31
2,TXN-0002-001,32,Home,3,81.79
2,TXN-0002-001,25,Beauty,1,405.69
3,TXN-0003-001,79,Beauty,2,107.01
3,TXN-0003-001,13,Toys,1,225.99
3,TXN-0003-001,87,Beauty,2,371.57
3,TXN-0003-001,52,Home,2,272.18
3,TXN-0003-002,18,Toys,3,120.91
3,TXN-0003-003,41,Toys,5,387.41
3,TXN-0003-003,42,Clothing,3,438.75
3,TXN-0003-003,85,Toys,2,209.71
3,TXN-0003-003,36,Beauty,5,474.52
3,TXN-0003-003,95,Clothing,4,280.15
3,TXN-0003-004,45,Home,5,162.77
3,TXN-0003-005,53,Clothing,3,191.35
3,TXN-0003-005,97,Toys,4,124.28
3,TXN-0003-005,29,Electronics,2,403.86
3,TXN-0003-005,8,Toys,4,484.05
4,TXN-0004-001,68,Clothing,4,125.21
4,TXN-0004-001,27,Electronics,1,461.5
4,TXN-0004-001,48,Beauty,5,363.67
4,TXN-0004-001,25,Beauty,3,191.7
4,TXN-0004-001,78,Toys,1,437.44
4,TXN-0004-002,98,Toys,5,112.42
4,TXN-0004-002,27,Electronics,3,478.72
4,TXN-0004-003,28,Clothing,1,374.71
4,TXN-0004-004,32,Toys,2,201.33
4,TXN-0004-004,31,Toys,3,388.88
4,TXN-0004-004,49,Home,5,326.12
4,TXN-0004-004,40,Electronics,3,258.84
5,TXN-0005-001,60,Beauty,4,382.01
5,TXN-0005-001,41,Clothing,3,159.9
5,TXN-0005-001,6,Toys,2,371.92
5,TXN-0005-001,3,Electronics,5,467.71
5,TXN-0005-002,93,Home,3,80.44
5,TXN-0005-002,43,Clothing,4,287.05
5,TXN-0005-002,32,Home,5,329.03
5,TXN-0005-002,88,Electronics,3,382.86
5,TXN-0005-002,63,Home,4,88.28
5,TXN-0005-003,22,Clothing,5,246.72
5,TXN-0005-003,70,Beauty,5,21.74
5,TXN-0005-003,10,Beauty,1,209.13
5,TXN-0005-004,9,Clothing,1,113.27
5,TXN-0005-004,59,Electronics,1,310.83
6,TXN-0006-001,62,Home,1,8.27
6,TXN-0006-001,71,Home,1,13.28
6,TXN-0006-001,93,Electronics,5,488.85
6,TXN-0006-001,3,Toys,4,404.05
6,TXN-0006-001,23,Beauty,1,264.57
6,TXN-0006-002,25,Toys,5,129.95
6,TXN-0006-002,46,Electronics,4,44.11
6,TXN-0006-003,59,Toys,2,495.17
6,TXN-0006-003,29,Electronics,1,328.6
6,TXN-0006-003,84,Beauty,1,205.61
6,TXN-0006-003,49,Toys,4,32.78
7,TXN-0007-001,90,Clothing,1,252.43
7,TXN-0007-002,83,Electronics,5,488.78
7,TXN-0007-002,13,Toys,1,118.73
7,TXN-0007-002,89,Toys,4,139.19
7,TXN-0007-002,10,Electronics,5,283.94
8,TXN-0008-001,23,Electronics,1,480.93
8,TXN-0008-002,19,Home,1,153.14
8,TXN-0008-002,73,Clothing,5,418.15
8,TXN-0008-002,50,Toys,3,195
8,TXN-0008-002,95,Clothing,1,252.89
8,TXN-0008-002,45,Beauty,1,221.36
8,TXN-0008-003,44,Toys,5,477.65
8,TXN-0008-004,100,Electronics,1,318.89
8,TXN-0008-004,58,Home,2,181.13
8,TXN-0008-004,49,Home,2,341.45
8,TXN-0008-004,85,Home,1,387.22
8,TXN-0008-005,32,Beauty,1,137.65
8,TXN-0008-005,49,Clothing,4,161.76
8,TXN-0008-005,14,Beauty,1,471.77
8,TXN-0008-006,47,Electronics,1,70.59
8,TXN-0008-006,24,Home,4,280.71
8,TXN-0008-006,66,Home,1,18
8,TXN-0008-006,46,Toys,1,300.48
